Dosya_Adi,Koruma_Sira_No,Koruma_Kodu,Koruma_Aciklamasi,Koruma_Durumu,Koruma_Detay_Satiri
24030040,1,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,1. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
24030040,2,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,2. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
24030040,3,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,3. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
24030040,4,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,4. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
24030040,5,50,Ani Akım Koruma,Tespit Edildi,5. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,6,50,Ani Akım Koruma,Tespit Edildi,6. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,7,50,Ani Akım Koruma,Tespit Edildi,7. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,8,50,Ani Akım Koruma,Tespit Edildi,8. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,9,50,Ani Akım Koruma,Tespit Edildi,9. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,10,50,Ani Akım Koruma,Tespit Edildi,10. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,11,50,Ani Akım Koruma,Tespit Edildi,11. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,12,50,Ani Akım Koruma,Tespit Edildi,12. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,13,50,Ani Akım Koruma,Tespit Edildi,13. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,14,50,Ani Akım Koruma,Tespit Edildi,14. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,15,50,Ani Akım Koruma,Tespit Edildi,15. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,16,50,Ani Akım Koruma,Tespit Edildi,16. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,17,46,Faz Sırası/Negatif Sıra Koruma,Tespit Edildi,17. 46     | Faz Sırası/Negatif Sıra Koruma | Tespit Edildi
24030040,18,50,Ani Akım Koruma,Tespit Edildi,18. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,19,50,Ani Akım Koruma,Tespit Edildi,19. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,20,50,Ani Akım Koruma,Tespit Edildi,20. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,21,50,Ani Akım Koruma,Tespit Edildi,21. 50     | Ani Akım Koruma                | Tespit Edildi
24030040,22,50,Ani Akım Koruma,Tespit Edildi,22. 50     | Ani Akım Koruma                | Tespit Edildi
